No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date
1,2013,3,1,0,3.0,6.0,13.0,7.0,300.0,85.0,-2.3,1020.8,-19.7,0.0,E,0.5,Changping,2013-03-01 00:00:00
2,2013,3,1,1,3.0,3.0,6.0,6.0,300.0,85.0,-2.5,1021.3,-19.0,0.0,ENE,0.7,Changping,2013-03-01 01:00:00
3,2013,3,1,2,3.0,3.0,22.0,13.0,400.0,74.0,-3.0,1021.3,-19.9,0.0,ENE,0.2,Changping,2013-03-01 02:00:00
4,2013,3,1,3,3.0,6.0,12.0,8.0,300.0,81.0,-3.6,1021.8,-19.1,0.0,NNE,1.0,Changping,2013-03-01 03:00:00
5,2013,3,1,4,3.0,3.0,14.0,8.0,300.0,81.0,-3.5,1022.3,-19.4,0.0,N,2.1,Changping,2013-03-01 04:00:00
6,2013,3,1,5,3.0,3.0,10.0,17.0,400.0,71.0,-4.5,1022.6,-19.5,0.0,NNW,1.7,Changping,2013-03-01 05:00:00
7,2013,3,1,6,4.0,6.0,12.0,22.0,500.0,65.0,-4.5,1023.4,-19.5,0.0,NNW,1.8,Changping,2013-03-01 06:00:00
8,2013,3,1,7,3.0,6.0,25.0,39.0,600.0,48.0,-2.1,1024.6,-20.0,0.0,NW,2.5,Changping,2013-03-01 07:00:00
9,2013,3,1,8,9.0,25.0,13.0,42.0,700.0,46.0,-0.2,1025.2,-20.5,0.0,NNW,2.8,Changping,2013-03-01 08:00:00
10,2013,3,1,9,11.0,29.0,5.0,18.0,500.0,73.0,0.6,1025.3,-20.4,0.0,NNW,3.8,Changping,2013-03-01 09:00:00
11,2013,3,1,10,9.0,10.0,3.0,10.0,300.0,83.0,2.0,1025.1,-21.3,0.0,N,2.2,Changping,2013-03-01 10:00:00
12,2013,3,1,11,3.0,3.0,4.0,9.0,300.0,81.0,3.6,1024.8,-20.7,0.0,NNE,2.7,Changping,2013-03-01 11:00:00
13,2013,3,1,12,3.0,6.0,4.0,8.0,300.0,90.0,4.8,1023.8,-19.7,0.0,N,3.0,Changping,2013-03-01 12:00:00
14,2013,3,1,13,3.0,101.0,5.0,9.0,300.0,89.0,5.8,1022.8,-20.6,0.0,NE,4.4,Changping,2013-03-01 13:00:00
15,2013,3,1,14,9.0,60.0,5.0,6.0,300.0,94.0,5.9,1022.6,-20.5,0.0,N,3.6,Changping,2013-03-01 14:00:00
16,2013,3,1,15,3.0,34.0,6.0,7.0,300.0,94.0,6.0,1022.6,-20.4,0.0,N,3.2,Changping,2013-03-01 15:00:00
17,2013,3,1,16,3.0,28.0,5.0,9.0,300.0,92.0,5.4,1022.8,-20.0,0.0,NE,2.2,Changping,2013-03-01 16:00:00
18,2013,3,1,17,6.0,25.0,19.0,12.0,300.0,88.0,3.5,1023.4,-20.8,0.0,ENE,2.0,Changping,2013-03-01 17:00:00
19,2013,3,1,18,4.0,17.0,40.0,22.0,600.0,77.0,2.7,1024.2,-20.0,0.0,NE,3.6,Changping,2013-03-01 18:00:00
20,2013,3,1,19,7.0,19.0,37.0,22.0,600.0,75.0,2.0,1025.1,-19.3,0.0,ENE,1.7,Changping,2013-03-01 19:00:00
